"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,"Linear_Solver_Iterations",    "LinSolRes"   ,"LinSolIterTurb",  "LinSolResTurb" ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,          16,      -1.043458169,       1.321818642,       1.393531741,       1.364760073,       4.314445481,      -4.717218537,                         5,     -0.8798769742,               5,      -2.548152959,       1064568.017,     0.03168823375,      0.4012608597,     0.03027553074,      0.6731837772,    -0.03337597548,     -0.2899478665,     0.01969067438,     0.03027553074,      0.4020282316,       12.66277139,   3.121526571e-05
          0,           0,          17,      -1.049163902,       1.333122749,       1.416289824,       1.398394408,       4.301921506,      -4.691723099,                         5,     -0.8617476233,               5,      -2.570498277,       1064568.017,     0.02915015182,      0.4015830544,     0.02211986424,      0.6913397506,    -0.01931366684,     -0.2600860517,     0.01714410238,     0.02211986424,      0.4022744843,       13.77636236,   0.0001260299201
          0,           0,          18,      -1.034390428,       1.327685255,       1.446158715,       1.432537942,       4.309880598,      -4.707362719,                         5,     -0.8919159018,               5,      -2.521216384,       1064568.017,      0.0278312376,       0.395601092,     0.02448139076,      0.6959707327,   -0.009791797241,     -0.2071262959,     0.01600442433,     0.02448139076,      0.3962558014,       14.21428316,   0.0001266989857
          0,           0,          19,      -1.021308658,       1.307013096,       1.464019157,        1.45296425,       4.322975012,      -4.760994171,                         5,     -0.9722750413,               5,      -2.486178669,       1064568.017,     0.02791474544,      0.3855718654,     0.03491877273,      0.6907517266,   -0.007170260726,     -0.1424103318,       0.016387412,     0.03491877273,      0.3862335422,       13.81248008,   0.0001196717982
          0,           0,          20,      -1.030323157,       1.278750022,       1.459710808,       1.454598619,       4.319864461,      -4.825574992,                         5,      -1.023410173,               5,      -2.491209627,       1064568.017,     0.02913020313,      0.3754567806,     0.05115664224,      0.6804752364,    -0.01080301192,    -0.07782822737,     0.01790440874,     0.05115664224,      0.3761592681,       12.88891735,   3.365620663e-05
          0,           0,          21,      -1.068536213,       1.253302227,       1.433915499,       1.442010228,       4.289807559,      -4.850668026,                         5,      -1.039789217,               5,      -2.488535761,       1064568.017,     0.03095299416,      0.3669671509,     0.07115109121,      0.6690788142,    -0.01817430998,    -0.02195433469,     0.01997992465,     0.07115109121,      0.3677278618,       11.85562692,   3.396961002e-05
          0,           0,          22,      -1.128466075,       1.236688758,       1.398217691,       1.426378918,       4.236015267,      -4.832273254,                         5,      -0.979292155,               5,      -2.545709264,       1064568.017,     0.03308174758,       0.362449267,      0.0924740209,      0.6605404707,    -0.02584825461,     0.01889799745,     0.02224265257,      0.0924740209,       0.363275567,        10.9561705,    3.42683534e-05
          0,           0,          23,      -1.188675118,       1.225507582,       1.369480158,       1.418660545,       4.174292069,      -4.817237062,                         5,     -0.9425269578,               5,      -2.574183787,       1064568.017,     0.03491436692,      0.3627983436,       0.113729611,      0.6577852586,    -0.03262805462,     0.04063061494,     0.02406402951,       0.113729611,       0.363679218,       10.39109042,   3.457547873e-05
          0,           0,          24,       -1.22260071,       1.212323724,       1.357542957,       1.420892164,       4.131001848,      -4.836639437,                         5,      -0.950969084,               5,      -2.635571502,       1064568.017,     0.03611215506,      0.3693697092,      0.1322305401,      0.6633614752,     -0.0387723539,     0.03858333283,     0.02506503333,      0.1322305401,      0.3702834237,       10.22840394,   3.491080062e-05
          0,           0,          25,      -1.232447298,        1.18919973,        1.35226956,       1.423999906,       4.114710872,      -4.894498744,                         5,      -1.005753017,               5,      -2.691888801,       1064568.017,     0.03644027344,      0.3802023698,      0.1461374713,      0.6763595512,    -0.04163987854,      0.0166035888,     0.02506949416,      0.1461374713,      0.3811210516,        10.4335762,   3.528281442e-05
