"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,       "AoA"      
          0,           0,           0,      -7.230141882,      -7.005546562,      -7.132643858,      -6.619926305,      -6.350636282,      0.3793010679,    0.001694187369,      0.0997875371,    0.007199371589,     0.05296405556,    -0.02206228466,    0.005498882231,  -0.0006756475875,    0.007199371589,     0.09979963092,       58.89994159,        1.36056002
          0,           0,           1,       -7.34483051,      -7.094622935,      -7.206066415,       -6.68873899,        -6.4695884,      0.3793010679,     0.00169407289,     0.09978599907,    0.007199412305,     0.05296341127,    -0.02206189239,    0.005498926681,  -0.0006757255151,    0.007199412305,      0.0997980906,       58.90301393,        1.36056002
          0,           0,           2,      -7.453198581,      -7.187780285,      -7.287352527,      -6.759671467,      -6.580937515,      0.3793010679,    0.001694034523,     0.09978447236,    0.007199409943,     0.05296264193,    -0.02206181479,     0.00549893343,  -0.0006757276218,    0.007199409943,     0.09979656341,       58.90344678,        1.36056002
          0,           0,           3,       -7.54025655,      -7.276774838,      -7.372933855,      -6.828691732,      -6.669067775,      0.3793010679,    0.001694184077,     0.09978293218,     0.00719932275,     0.05296169356,    -0.02206220142,    0.005498861212,  -0.0006755415398,     0.00719932275,     0.09979502722,       58.89733798,        1.36056002
          0,           0,           4,      -7.613200128,      -7.360087763,      -7.458991915,      -6.894491736,      -6.741469243,      0.3793010679,    0.001694471945,     0.09978210719,     0.00719918897,      0.0529611181,    -0.02206290078,    0.005498747497,  -0.0006752341646,     0.00719918897,      0.0997942093,       58.88684525,        1.36056002
          0,           0,           5,      -7.684214638,      -7.440358597,      -7.542258092,      -6.957431465,      -6.811180806,      0.3793010679,    0.001694678185,      0.0997823683,     0.00719911178,     0.05296127748,     -0.0220634683,     0.00549868504,  -0.0006750341819,     0.00719911178,     0.09979447523,       58.87983286,        1.36056002
          0,           0,           6,      -7.759522193,      -7.520191438,      -7.620804922,      -7.018299693,      -6.884830869,      0.3793010679,    0.001694691263,     0.09978238881,     0.00719911304,     0.05296144256,    -0.02206334907,    0.005498694243,  -0.0006750215951,     0.00719911304,     0.09979449604,        58.8793906,        1.36056002
          0,           0,           7,      -7.840946284,      -7.600726705,      -7.694035556,      -7.077950896,       -6.96441914,      0.3793010679,    0.001694590621,     0.09978125251,    0.007199141358,     0.05296101263,    -0.02206271038,    0.005498726771,  -0.0006750952288,    0.007199141358,     0.09979335768,       58.88221692,        1.36056002
          0,           0,           8,      -7.928282865,      -7.681987607,      -7.763089399,      -7.137116668,      -7.049881692,      0.3793010679,    0.001694519258,      0.0997797882,    0.007199147329,     0.05296039224,    -0.02206227535,    0.005498732895,   -0.000675131803,    0.007199147329,     0.09979189209,       58.88383254,        1.36056002
          0,           0,           9,       -8.01980766,      -7.763382323,      -7.830635988,      -7.196223053,      -7.139636034,      0.3793010679,    0.001694535788,     0.09977885715,    0.007199124224,     0.05296000914,    -0.02206225269,     0.00549870664,  -0.0006750931705,    0.007199124224,     0.09979096169,       58.88270869,        1.36056002
